2001.94478 0.3658819953	      0.26247	0.0005699026577
2052.337393	0.3769651154	0.26247	0.0005747441407
2101.756733	0.3877575404	0.26247	0.0005797418112
2200.9443	0.4087981015	0.26247	0.0005886647623
2250.744495	0.4195816532	0.26247	0.0005934441687
2300.43566	0.4305444094	0.26247	0.0005985626613
2400.215872	0.4520908598	0.26247	0.0006078406367
2450.012754	0.4630608877	0.26247	0.0006127005433
2550.012123	0.4851339463	0.26247	0.000622579812
2600.077044	0.4962720777	0.26247	0.0006275508818
2700.159571	0.5186170587	0.26247	0.0006376405042
2750.100827	0.5297494305	0.26247	0.0006425852754
2850.115893	0.5521195389	0.26247	0.0006527628262
2900.005833	0.563256568 	0.26247	0.000657826213
2950.121963	0.5748284687	0.26247	0.0006635528122
3050.168007	0.5965736914	0.26247	0.0006730838301
3100.103383	0.6080138623	0.26247	0.0006787675335
3200.113641	0.629365711 	0.26247	0.0006882767083
3300.159857	0.6506256768	0.26247	0.0006981280456
3350.061927	0.661116785 	0.26247	0.0007030607806
3450.045289	0.6813891235	0.26247	0.0007125076641
3499.955269	0.6914153319	0.26247	0.0007172808593
3599.981425	0.7100147806	0.26247	0.0007255628125
3650.050419	0.7197649693	0.26247	0.0007306536077
3750.0738	0.7369381528	0.26247	0.0007383520615
3850.132655	0.7534234011	0.26247	0.0007462876689
3899.991609	0.7616182417	0.26247	0.0007506211934
4000.070584	0.7757211704	0.26247	0.0007570836576
4050.014476	0.7827145299	0.26247	0.0007607754794
4150.020096	0.7946303346	0.26247	0.000766211414
4250.039628	0.8053674382	0.26247	0.0007715003132
4299.975983	0.8100648438	0.26247	0.000773733519
4399.945632	0.8182944693	0.26247	0.0007777567103
4450.075725	0.8222110783	0.26247	0.0007800212184
4550.07174	0.8277954253	0.26247	0.0007825456625
4615.474771	0.831125859 	0.26247	0.0007841755006
4699.972515	0.8336332602	0.26247	0.0007855576123
4800.031253	0.8352694958	0.26247	0.0007862764548
4849.939846	0.8357437251	0.26247	0.0007865721299
4949.939767	0.8354884642	0.26247	0.0007865031965
5050.008168	0.8337501366	0.26247	0.0007856566575
5099.936961	0.8323768863	0.26247	0.0007849092341
5199.969624	0.8288951974	0.26247	0.0007831492916
5299.968675	0.8245205201	0.26247	0.000781290736
5350.074908	0.8216320251	0.26247	0.0007796325123
5449.913337	0.8158364267	0.26247	0.0007770330227
5500.03018	0.8124374859	0.26247	0.0007752176238
5600.033625	0.8051804548	0.26247	0.0007716396922
5649.980668	0.8014709323	0.26247	0.0007699000064
5750.004294	0.7934186741	0.26247	0.0007660502708
5800.116556	0.788813104	      0.26247	0.0007634595047
5899.974623	0.7801642545	0.26247	0.0007593820372
5999.978707	0.771119807 	0.26247	0.0007551807747
6050.098022	0.7662774515	0.26247	0.0007526406256
6150.102144	0.7570049463	0.26247	0.0007485141891
6249.981811	0.7469966257	0.26247	0.0007435534286
6300.078003	0.7419585785	0.26247	0.0007410125435
6400.103566	0.7322651738	0.26247	0.000736647459
6500.11657	0.7220990265	0.26247	0.0007317803342
6599.961863	0.7121148967	0.26247	0.0007270925054
6650.07538	0.7070746757	0.26247	0.0007246924546
6750.102984	0.6970365026	0.26247	0.0007199586542
6850.164033	0.6870540215	0.26247	0.0007152843881
6900.071978	0.6819112651	0.26247	0.0007125835313
7000.051481	0.6722984936	0.26247	0.0007083405314
7100.101481	0.6625424682	0.26247	0.00070376398
7200.086226	0.6528887176	0.26247	0.0006992968136
7300.147471	0.6435037314	0.26247	0.0006949128904
7399.994403	0.6341347779	0.26247	0.0006905106052
7450.083579	0.6296640638	0.26247	0.0006885419121
7550.099189	0.6205014184	0.26247	0.0006842059475
7650.14471	0.6116485001	0.26247	0.0006802137654
7700.062939	0.6071033261	0.26247	0.0006779167427
7800.0742	0.5984106818	0.26247	0.0006738774452
7900.113502	0.5901358107	0.26247	0.0006703420521
7950.02793	0.5858181395	0.26247	0.0006681655654
8100.174705	0.5736657973	0.26247	0.000662754349
8150.059004	0.5695654608	0.26247	0.0006607355732
8250.110416	0.5617906032	0.26247	0.0006572687928
8350.135608	0.5540404555	0.26247	0.0006537729185
8450.180841	0.5464730494	0.26247	0.0006502524842
8549.967236	0.5392057741	0.26247	0.0006470665923
8600.127967	0.5355178099	0.26247	0.0006452815609
8700.113448	0.528385248 	0.26247	0.0006420374544
8800.157324	0.5214311345	0.26247	0.0006389041739
8900.150511	0.5147004525	0.26247	0.0006358985344
8950.083145	0.5113860994	0.26247	0.0006343845993
9050.097306	0.5048292916	0.26247	0.0006314551496
9150.119524	0.4983969905	0.26247	0.0006285756196
9250.166312	0.4921525684	0.26247	0.0006258118338
9300.084936	0.4890672423	0.26247	0.0006243558837
9400.112433	0.4830193512	0.26247	0.0006217050852
9500.1257	0.4771548595	0.26247	0.0006191039816
9550.068435	0.4742484743	0.26247	0.0006177979526
9650.06241	0.468512318 	0.26247	0.000615199003
9750.088143	0.4629655499	0.26247	0.0006127985552
9850.134649	0.4574829006	0.26247	0.0006103863217
9950.122795	0.4522046708	0.26247	0.0006080686162
10050.18714	0.4469706945	0.26247	0.0006058132431
10150.0082	0.4418458928	0.26247	0.0006035240837
10250.03707	0.4368842687	0.26247	0.0006013616765
10350.07061	0.4319071178	0.26247	0.0005990929838
10450.06247	0.4271789461	0.26247	0.000597075053
10550.10904	0.4224643107	0.26247	0.0005949816631
10600.0218	0.4201604976	0.26247	0.0005938986725
10700.05008	0.4156233621	0.26247	0.000591924793
10800.07755	0.4111160045	0.26247	0.0005899044356
10900.09939	0.4067455736	0.26247	0.0005879444464
